dataset,method,clf,metric,mean,std,delta,wilcoxon_p,n_fail
Wine_Red,Base,RF,f1_macro,0.36448744662286886,0.038969277349180265,0.0,1.0,0
Wine_Red,Base,RF,gmean,0.0031062327716087855,0.0028176417702307365,0.0,1.0,0
Wine_Red,Base,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_Red,Base,RF,mcc,0.5067337763738375,0.03736285120144015,0.0,1.0,0
Wine_Red,Base,RF,min_recall,0.05277777777777778,0.06538112386633232,0.0,1.0,0
Wine_Red,Base,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_Red,GMM-KDE,RF,f1_macro,0.3799066203113734,0.02120338712963817,0.032522319676084266,0.15142822265625,0
Wine_Red,GMM-KDE,RF,gmean,0.09593497060866708,0.14100955843366614,0.05108885555801217,6.103515625e-05,0
Wine_Red,GMM-KDE,RF,gmean_strict,0.06020634447783889,0.15382224347549636,0.0,0.17971249487899976,0
Wine_Red,GMM-KDE,RF,mcc,0.45648576128057317,0.030816896978763338,-0.0544971187892746,6.103515625e-05,0
Wine_Red,GMM-KDE,RF,min_recall,0.17222222222222222,0.11062393195411044,0.125,0.007212578345957219,0
Wine_Red,GMM-KDE,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,locSHAP-sh,RF,f1_macro,0.3817271735224883,0.02798280140020935,0.029536732354332962,0.1688232421875,0
Wine_Red,locSHAP-sh,RF,gmean,0.09772298830364415,0.14388461020898494,0.0428166371976267,6.103515625e-05,0
Wine_Red,locSHAP-sh,RF,gmean_strict,0.061467275547666546,0.156875299415759,0.0,0.17971249487899976,0
Wine_Red,locSHAP-sh,RF,mcc,0.45955040018676346,0.03107716914574021,-0.041970444889241953,6.103515625e-05,0
Wine_Red,locSHAP-sh,RF,min_recall,0.1722222222222222,0.12625909085959458,0.0,0.01775592261403605,0
Wine_Red,locSHAP-sh,RF,rare_recall,0.06666666666666667,0.16996731711975946,0.0,0.15729920705028502,0
Wine_Red,locSHAP-vp,RF,f1_macro,0.3839153148337631,0.02161578939483706,0.03101096267475323,0.041259765625,0
Wine_Red,locSHAP-vp,RF,gmean,0.12079867241353295,0.15349216879376823,0.05173006846397303,6.103515625e-05,0
Wine_Red,locSHAP-vp,RF,gmean_strict,0.0852246867290087,0.17047629931874578,0.0,0.10880943004054569,0
Wine_Red,locSHAP-vp,RF,mcc,0.4536689013337026,0.036814724235694256,-0.054692387042776125,0.00018310546875,0
Wine_Red,locSHAP-vp,RF,min_recall,0.22222222222222218,0.11553685746158567,0.16666666666666666,0.002064350261092704,0
Wine_Red,locSHAP-vp,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,ovrSHAP-sh,RF,f1_macro,0.38293142172525285,0.03189683650911884,0.027221407359706074,0.1688232421875,0
Wine_Red,ovrSHAP-sh,RF,gmean,0.11972316784760079,0.15793251239298436,0.048265233373193245,0.0001220703125,0
Wine_Red,ovrSHAP-sh,RF,gmean_strict,0.08666375528565785,0.17335639219627225,0.0,0.10880943004054569,0
Wine_Red,ovrSHAP-sh,RF,mcc,0.4522165771177938,0.03627920715460469,-0.04867203790029545,0.00030517578125,0
Wine_Red,ovrSHAP-sh,RF,min_recall,0.21666666666666667,0.15971618346072278,0.125,0.004753229214898705,0
Wine_Red,ovrSHAP-sh,RF,rare_recall,0.13333333333333333,0.28674417556808757,0.0,0.10247043485974937,0
Wine_Red,fisher-sh,RF,f1_macro,0.38303125553099066,0.03034631728420206,0.019876779249897558,0.15142822265625,0
Wine_Red,fisher-sh,RF,gmean,0.09353584434532919,0.1427689677849741,0.04714184167171679,6.103515625e-05,0
Wine_Red,fisher-sh,RF,gmean_strict,0.06048107111953901,0.15431403885073228,0.0,0.17971249487899976,0
Wine_Red,fisher-sh,RF,mcc,0.46005477955003293,0.030875360506605772,-0.04192714546116805,0.0001220703125,0
Wine_Red,fisher-sh,RF,min_recall,0.17777777777777776,0.12215907459608902,0.125,0.007109552693052261,0
Wine_Red,fisher-sh,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,mi-sh,RF,f1_macro,0.38488077885344507,0.032830448877418844,0.027500350874540835,0.1353759765625,0
Wine_Red,mi-sh,RF,gmean,0.1176593073231019,0.17140296608903555,0.04448200017520011,6.103515625e-05,0
Wine_Red,mi-sh,RF,gmean_strict,0.09150186639565622,0.183164369218776,0.0,0.10880943004054569,0
Wine_Red,mi-sh,RF,mcc,0.469196208242383,0.03716599395938282,-0.03800709463251367,0.0006103515625,0
Wine_Red,mi-sh,RF,min_recall,0.15833333333333333,0.14288690166235204,0.0,0.01714803250145893,0
Wine_Red,mi-sh,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,rand-sh,RF,f1_macro,0.3812116667094472,0.026291798099053718,0.01451022402457497,0.15142822265625,0
Wine_Red,rand-sh,RF,gmean,0.11790872166354087,0.15616767572941476,0.04963197198845788,6.103515625e-05,0
Wine_Red,rand-sh,RF,gmean_strict,0.08536084624524154,0.17133326884765007,0.0,0.10880943004054569,0
Wine_Red,rand-sh,RF,mcc,0.4505490886610602,0.02826129270173417,-0.05730075860232842,6.103515625e-05,0
Wine_Red,rand-sh,RF,min_recall,0.16944444444444445,0.1286204100310025,0.125,0.011209733383895203,0
Wine_Red,rand-sh,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,perm-sh,RF,f1_macro,0.383799045574082,0.02955250284573878,0.02461748440811251,0.12054443359375,0
Wine_Red,perm-sh,RF,gmean,0.09942422658729502,0.14112188758262634,0.050824258514163535,6.103515625e-05,0
Wine_Red,perm-sh,RF,gmean_strict,0.060849277984351476,0.1553535784667388,0.0,0.17971249487899976,0
Wine_Red,perm-sh,RF,mcc,0.464531128610375,0.03626497090665478,-0.03939252015151162,0.0006103515625,0
Wine_Red,perm-sh,RF,min_recall,0.16666666666666666,0.10540925533894598,0.125,0.007058332048528101,0
Wine_Red,perm-sh,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,inv-sh,RF,f1_macro,0.375494111236659,0.03342267998193439,0.01063655973193861,0.48870849609375,0
Wine_Red,inv-sh,RF,gmean,0.06325026516431662,0.10313152021027305,0.04607800218454784,0.0001220703125,0
Wine_Red,inv-sh,RF,gmean_strict,0.02932101626085591,0.10970919708015037,0.0,0.31731050786291415,0
Wine_Red,inv-sh,RF,mcc,0.45532287031644436,0.0427528379152318,-0.048739319449239316,0.0001220703125,0
Wine_Red,inv-sh,RF,min_recall,0.12222222222222222,0.10808375810190954,0.0,0.04216819709715596,0
Wine_Red,inv-sh,RF,rare_recall,0.06666666666666667,0.16996731711975946,0.0,0.15729920705028502,0
Wine_Red,ovrSHAP-vp,RF,f1_macro,0.3822882843130246,0.03026202006399225,0.022610294454051383,0.10699462890625,0
Wine_Red,ovrSHAP-vp,RF,gmean,0.09342443925364681,0.13467607223916617,0.04872485680610647,6.103515625e-05,0
Wine_Red,ovrSHAP-vp,RF,gmean_strict,0.057797528899433105,0.14738066265774602,0.0,0.17971249487899976,0
Wine_Red,ovrSHAP-vp,RF,mcc,0.46314078070167103,0.03657573048686723,-0.03944184140299328,0.0001220703125,0
Wine_Red,ovrSHAP-vp,RF,min_recall,0.19444444444444445,0.15932922666333318,0.125,0.00716096819380791,0
Wine_Red,ovrSHAP-vp,RF,rare_recall,0.13333333333333333,0.28674417556808757,0.0,0.10247043485974937,0
Wine_Red,fisher-vp,RF,f1_macro,0.37934114602471575,0.0351160848157677,0.014621436514528074,0.25238037109375,0
Wine_Red,fisher-vp,RF,gmean,0.09252483038045778,0.13573856023191366,0.048062745379760116,6.103515625e-05,0
Wine_Red,fisher-vp,RF,gmean_strict,0.058079514512417,0.14807734938988334,0.0,0.17971249487899976,0
Wine_Red,fisher-vp,RF,mcc,0.45957615188696177,0.040566375913348454,-0.052352338572904,0.0001220703125,0
Wine_Red,fisher-vp,RF,min_recall,0.18333333333333332,0.1550089603144856,0.125,0.007109552693052261,0
Wine_Red,fisher-vp,RF,rare_recall,0.13333333333333333,0.28674417556808757,0.0,0.10247043485974937,0
Wine_Red,mi-vp,RF,f1_macro,0.38585079026603425,0.03177624242157533,0.024401922734866688,0.072998046875,0
Wine_Red,mi-vp,RF,gmean,0.0930745345788478,0.13256493748317402,0.05131522599380312,6.103515625e-05,0
Wine_Red,mi-vp,RF,gmean_strict,0.05665049809893852,0.14541198601208621,0.0,0.17971249487899976,0
Wine_Red,mi-vp,RF,mcc,0.4662098901677,0.04340423706301383,-0.03252220606065437,0.00201416015625,0
Wine_Red,mi-vp,RF,min_recall,0.18333333333333332,0.12527746981977425,0.125,0.007058332048528101,0
Wine_Red,mi-vp,RF,rare_recall,0.1,0.20000000000000004,0.0,0.0832645166635504,0
Wine_Red,rand-vp,RF,f1_macro,0.38156455498424796,0.02964747572888261,0.0033207952050422485,0.22930908203125,0
Wine_Red,rand-vp,RF,gmean,0.14619156189859764,0.1860618651879663,0.050157517179994865,6.103515625e-05,0
Wine_Red,rand-vp,RF,gmean_strict,0.12069717398845287,0.20045883597503766,0.0,0.06788915486182899,0
Wine_Red,rand-vp,RF,mcc,0.45379699999705225,0.040883556804932435,-0.05167182098133455,6.103515625e-05,0
Wine_Red,rand-vp,RF,min_recall,0.2222222222222222,0.16503834197236608,0.125,0.0047256977341214425,0
Wine_Red,rand-vp,RF,rare_recall,0.16666666666666666,0.2981423969999719,0.0,0.05878172135535886,0
Wine_Red,perm-vp,RF,f1_macro,0.3777917828085761,0.026678087143681025,0.02408854437979069,0.389404296875,0
Wine_Red,perm-vp,RF,gmean,0.09172757337666017,0.1339057368190366,0.047360591683133876,6.103515625e-05,0
Wine_Red,perm-vp,RF,gmean_strict,0.057346788981293945,0.14626709814553857,0.0,0.17971249487899976,0
Wine_Red,perm-vp,RF,mcc,0.4566257982549461,0.04415851918384152,-0.0503266127314409,0.00042724609375,0
Wine_Red,perm-vp,RF,min_recall,0.1861111111111111,0.14740554623801777,0.125,0.011209733383895203,0
Wine_Red,perm-vp,RF,rare_recall,0.13333333333333333,0.28674417556808757,0.0,0.10247043485974937,0
Wine_Red,inv-vp,RF,f1_macro,0.38445440057071917,0.0243986528091653,0.0344949462567809,0.063720703125,0
Wine_Red,inv-vp,RF,gmean,0.1473433576041542,0.18115768291074072,0.051753664708574225,6.103515625e-05,0
Wine_Red,inv-vp,RF,gmean_strict,0.11834735506137001,0.19762693360320205,0.0,0.06788915486182899,0
Wine_Red,inv-vp,RF,mcc,0.461545836878945,0.028383645610782923,-0.037748125782227304,0.0001220703125,0
Wine_Red,inv-vp,RF,min_recall,0.20555555555555552,0.13304366683142274,0.16666666666666666,0.004892240901835026,0
Wine_Red,inv-vp,RF,rare_recall,0.13333333333333333,0.22110831935702668,0.0,0.0455002638963584,0
Wine_White,Base,RF,f1_macro,0.416745978236056,0.017867652323738464,0.0,1.0,0
Wine_White,Base,RF,gmean,0.011337535517248021,0.000751009525176913,0.0,1.0,0
Wine_White,Base,RF,gmean_strict,0.0,0.0,0.0,1.0,0
Wine_White,Base,RF,mcc,0.5213086992904172,0.018528959164411538,0.0,1.0,0
Wine_White,Base,RF,min_recall,0.0,0.0,0.0,1.0,0
Wine_White,Base,RF,rare_recall,0.0,0.0,0.0,1.0,0
Wine_White,GMM-KDE,RF,f1_macro,0.4171494060713978,0.020104625017165527,-0.004016897448155088,0.93408203125,0
Wine_White,GMM-KDE,RF,gmean,0.09895386149346501,0.13854500578025783,0.06865531413724892,6.103515625e-05,0
Wine_White,GMM-KDE,RF,gmean_strict,0.04031884184284052,0.1508592924074345,0.0,0.31731050786291415,0
Wine_White,GMM-KDE,RF,mcc,0.4810337634882003,0.018647950574558095,-0.03422584097613246,6.103515625e-05,0
Wine_White,GMM-KDE,RF,min_recall,0.18333333333333332,0.19825628755617197,0.125,0.0027690039437675987,0
Wine_White,GMM-KDE,RF,rare_recall,0.13333333333333333,0.339934634239519,0.0,0.15729920705028502,0
Wine_White,locSHAP-sh,RF,f1_macro,0.40443837733739535,0.014884705970103319,-0.01029381869258894,0.03533935546875,0
Wine_White,locSHAP-sh,RF,gmean,0.059010418459472413,0.032294921078358935,0.06823690981486022,6.103515625e-05,0
