dataset,method,metric,mean,std
Wine_Red,Base,macro_ap,0.4753523504353963,0.04133401967868437
Wine_Red,Base,bal_acc,0.3559415667943114,0.029601830165918632
Wine_Red,Base,brier,0.0696678102359805,0.003946127692482876
Wine_Red,SMOTE,macro_ap,0.45892557229541303,0.03219108163149588
Wine_Red,SMOTE,bal_acc,0.42788428104476,0.04145764117328641
Wine_Red,SMOTE,brier,0.0745203094087426,0.0031055350385413654
Wine_Red,SMOTE-ENN,macro_ap,0.37262511474085286,0.028345515363706948
Wine_Red,SMOTE-ENN,bal_acc,0.40316404575309167,0.044216409798771124
Wine_Red,SMOTE-ENN,brier,0.12160889975182862,0.0034382658303554925
Wine_Red,GS-0.85,macro_ap,0.4574547945353734,0.03502499333832109
Wine_Red,GS-0.85,bal_acc,0.4536136868798535,0.06005726025454675
Wine_Red,GS-0.85,brier,0.08000016198624173,0.0034588746367363687
Wine_Red,Sgeo,macro_ap,0.45335219337556104,0.04086244992923439
Wine_Red,Sgeo,bal_acc,0.4404300922137293,0.05780005626410547
Wine_Red,Sgeo,brier,0.08056499436172067,0.003460747246776918
Wine_Red,CC-SG,macro_ap,0.4621704258758539,0.037473161091169195
Wine_Red,CC-SG,bal_acc,0.42630892340980114,0.038649279186925706
Wine_Red,CC-SG,brier,0.07660542197840473,0.0035664832387123963
Wine_White,Base,macro_ap,0.48186263395805273,0.018122853566369137
Wine_White,Base,bal_acc,0.3794035836958386,0.014798748049194248
Wine_White,Base,brier,0.06062014138899395,0.0013576168934647853
Wine_White,SMOTE,macro_ap,0.49267453537541156,0.04467575523963388
Wine_White,SMOTE,bal_acc,0.4185896187412766,0.018383185494094623
Wine_White,SMOTE,brier,0.06324945689409575,0.001699278041204395
Wine_White,SMOTE-ENN,macro_ap,0.4148155204478116,0.02365338785676601
Wine_White,SMOTE-ENN,bal_acc,0.39825271751644215,0.022685408431908208
Wine_White,SMOTE-ENN,brier,0.09748761350061695,0.0018295781806544446
Wine_White,GS-0.85,macro_ap,0.4811691410702682,0.019061135133114433
Wine_White,GS-0.85,bal_acc,0.46112180474525843,0.023078846855546106
Wine_White,GS-0.85,brier,0.0688133664664465,0.0016480085146673349
Wine_White,Sgeo,macro_ap,0.48646350955622875,0.01613847047986729
Wine_White,Sgeo,bal_acc,0.4641242423567473,0.019955268522551653
Wine_White,Sgeo,brier,0.0690333951901496,0.001647630196952683
Wine_White,CC-SG,macro_ap,0.4892390034492257,0.01986779433129269
Wine_White,CC-SG,bal_acc,0.45127537695801584,0.025146090396516635
Wine_White,CC-SG,brier,0.06619877232772578,0.0016836047595697426
ecoli,Base,macro_ap,0.8519670052443089,0.05544712703710456
ecoli,Base,bal_acc,0.7370817069997397,0.10582244597807156
ecoli,Base,brier,0.053328067017851914,0.00904316022487931
ecoli,SMOTE,macro_ap,0.8394952946863115,0.05915688014177309
ecoli,SMOTE,bal_acc,0.8255945875618006,0.07335346693619438
ecoli,SMOTE,brier,0.061489650278021654,0.014165218849213226
ecoli,SMOTE-ENN,macro_ap,0.8001105753548458,0.0576993375368368
ecoli,SMOTE-ENN,bal_acc,0.880545147020557,0.05397346795831369
ecoli,SMOTE-ENN,brier,0.09189393181153056,0.02620174658589439
ecoli,GS-0.85,macro_ap,0.8526121677474607,0.04497236052421423
ecoli,GS-0.85,bal_acc,0.8357806401249024,0.06893126925963348
ecoli,GS-0.85,brier,0.0649150892777481,0.014381300911168937
ecoli,Sgeo,macro_ap,0.8360634303566733,0.05897352034026998
ecoli,Sgeo,bal_acc,0.8616991933385376,0.05772107792949475
ecoli,Sgeo,brier,0.0728576002341235,0.016165495901162823
ecoli,CC-SG,macro_ap,0.8491434170972283,0.05694535059947457
ecoli,CC-SG,bal_acc,0.8369099661722612,0.07918992195565487
ecoli,CC-SG,brier,0.06476332601697395,0.013909437433942677
us_crime,Base,macro_ap,0.783676412974652,0.03775916883946335
us_crime,Base,bal_acc,0.6644224500216017,0.040998489643181736
us_crime,Base,brier,0.046069764948384356,0.003814857892094186
us_crime,SMOTE,macro_ap,0.7399675724757675,0.028725182998151914
us_crime,SMOTE,bal_acc,0.7400175268057029,0.05039423865096795
us_crime,SMOTE,brier,0.059103969429436236,0.00541646049455989
us_crime,SMOTE-ENN,macro_ap,0.7368299963954968,0.03290695734267455
us_crime,SMOTE-ENN,bal_acc,0.8330639016535094,0.035951601729931545
us_crime,SMOTE-ENN,brier,0.0902938663660827,0.014939852649439483
us_crime,GS-0.85,macro_ap,0.7818058736049108,0.03614027704922408
us_crime,GS-0.85,bal_acc,0.7616701523899297,0.03387961835767719
us_crime,GS-0.85,brier,0.05495972485652993,0.006083408593954577
us_crime,Sgeo,macro_ap,0.7640913884054861,0.033886230542717985
us_crime,Sgeo,bal_acc,0.8329052276030008,0.035640661372136485
us_crime,Sgeo,brier,0.07778189791900186,0.01027019615415889
us_crime,CC-SG,macro_ap,0.7740727168741083,0.03525385601521366
us_crime,CC-SG,bal_acc,0.8120534346647814,0.032492801398295725
us_crime,CC-SG,brier,0.06321676406258528,0.008141019121815684
oil,Base,macro_ap,0.7755280676545262,0.057090427761332795
oil,Base,bal_acc,0.624436168011587,0.07174567914865113
oil,Base,brier,0.028679485341525392,0.00407233090909244
oil,SMOTE,macro_ap,0.8013212855702937,0.06521598231652286
oil,SMOTE,bal_acc,0.7175656941858058,0.057495691441771385
oil,SMOTE,brier,0.029259213410702777,0.005528853825024247
oil,SMOTE-ENN,macro_ap,0.7709030308132202,0.07827244367315025
oil,SMOTE-ENN,bal_acc,0.7714245810055866,0.07862278349265363
oil,SMOTE-ENN,brier,0.03631122918800016,0.006247065695609868
oil,GS-0.85,macro_ap,0.8092392065527,0.0478923787246761
oil,GS-0.85,bal_acc,0.7655234843782329,0.0694416162781163
oil,GS-0.85,brier,0.02985054291349035,0.004169488472024377
oil,Sgeo,macro_ap,0.7892509347886846,0.07315250479308946
oil,Sgeo,bal_acc,0.8063976825987998,0.07199549538048745
oil,Sgeo,brier,0.04650323738005841,0.00933651301987031
oil,CC-SG,macro_ap,0.7926000941004913,0.06802944430363467
oil,CC-SG,bal_acc,0.777078936478378,0.06261347779221792
oil,CC-SG,brier,0.03520084518526947,0.006493274876963563
car_eval_4,Base,macro_ap,0.9977001135182584,0.004105641118884054
car_eval_4,Base,bal_acc,0.9204127204127206,0.05691915483154275
car_eval_4,Base,brier,0.007505651001089051,0.001013426454513801
car_eval_4,SMOTE,macro_ap,0.9975408863609203,0.003919861773875581
car_eval_4,SMOTE,bal_acc,0.9610376595316354,0.048658669449724995
car_eval_4,SMOTE,brier,0.005632772164977242,0.0011555243902131335
car_eval_4,SMOTE-ENN,macro_ap,0.9874514517883803,0.012946887496095686
car_eval_4,SMOTE-ENN,bal_acc,0.99086236375393,0.012859572697889614
car_eval_4,SMOTE-ENN,brier,0.008760291642232833,0.001885133888786026
